Word,aoa_Kuperman,cmu_MNphonemes,cmu_MNsyllables,fa_BCs,fa_CCs,fa_PR_scores,fa_degrees,wn_BCs,wn_CCs,wn_MNSyns,wn_NSigns,wn_PR_scores,wn_degrees
appointment,7.53,9.0,3.0,0.000338020569581583,0.09558823529411764,1.9896756316528245e-05,17,2.0409879068170396e-05,0.19047619047619047,2.1666666666666665,6,1.1560271047744136e-05,7
appraise,14.52,5.0,2.0,0.00024363658796187006,0.15384615384615385,1.0016735936991018e-05,14,6.0606850468433005e-06,0.6666666666666666,4.0,2,9.9088037552087403e-06,6
approval,7.95,7.0,3.0,0.0006381356751130513,0.07792207792207792,3.5943779162258745e-05,22,1.59326475722993e-05,0.2,2.25,4,8.2573364626746016e-06,5
arctic,7.79,5.5,2.0,3.50734339454227e-05,0.28888888888888886,1.0854474383443143e-05,10,2.3188981815147353e-05,0.25757575757575757,4.0,4,1.9817607510412609e-05,12
area,6.58,4.0,3.0,0.0010728432560277756,0.07510204081632653,0.00010523785188916767,50,1.4408948638710815e-05,0.3055555555555556,2.5,6,1.4863205632812159e-05,9
arena,9.57,4.0,3.0,0.0007995110928565437,0.14210526315789473,1.0781628207270421e-05,20,1.3125407739123417e-05,0.3611111111111111,3.25,4,1.4863205632813193e-05,9
argue,4.61,5.0,2.0,0.0001267165608508302,0.15714285714285714,4.2552841166548703e-05,21,1.1171876344815913e-05,0.3,2.6666666666666665,3,8.2573364626741442e-06,5
argument,7.55,9.0,3.0,0.000347465144874617,0.11688311688311688,4.1930008737174165e-05,22,4.6455482391499184e-05,0.2761904761904762,3.2857142857142856,7,2.6423476680556729e-05,15
arm,3.26,3.0,1.0,0.0005979932408697588,0.08282828282828283,0.0001942753445084011,45,2.1022810164799396e-05,0.16666666666666666,2.25,8,1.6514672925348624e-05,9
army,7.15,4.0,2.0,0.001781595911628825,0.0662004662004662,9.4634092464334003e-05,66,4.595580341165991e-09,0.4666666666666667,3.0,3,8.761349837194725e-06,6
aroma,9.47,4.0,3.0,7.20839521411146e-05,0.22857142857142856,3.584283720379388e-05,15,5.472169470326785e-06,0.6190476190476191,5.0,2,1.321173834027912e-05,7
arrange,8.28,4.0,2.0,2.584621817461662e-06,0.16666666666666666,1.3129248056719258e-05,4,5.18105905069245e-05,0.30303030303030304,3.0,7,2.3120542095486114e-05,12
arrest,7.47,4.0,2.0,0.0002217072863479071,0.35,2.1892703010984455e-05,16,0.00022560288277478314,0.2714285714285714,5.333333333333333,6,4.2938149605904706e-05,21
arrive,6.26,3.0,2.0,0.00023230652305358799,0.09166666666666666,3.7169511512131286e-05,16,5.4331389946687455e-06,0.4,3.5,2,8.2573364626740934e-06,5
art,6.21,3.0,1.0,0.0015806571141035134,0.07486338797814207,0.0001121269605748959,61,3.774940994529207e-09,0.17857142857142858,3.0,4,1.6952308123071718e-05,8
ascend,10.67,5.0,2.0,0.00040940856441561857,0.23809523809523808,2.0763420377348682e-05,15,8.564010800339811e-08,0.8,1.875,8,1.1560271047743818e-05,6
ascent,10.74,5.0,2.0,3.990708867288698e-05,0.24175824175824176,1.0065953565756202e-05,14,3.2772104900623745e-06,0.5357142857142857,4.666666666666667,3,1.8166140217883313e-05,8
ask,2.89,3.0,1.0,0.0005333133912122732,0.10960960960960961,7.2702434946589226e-05,37,1.3366941975494021e-05,0.5454545454545454,2.7142857142857144,7,1.9817607510417877e-05,11
asleep,4.47,5.0,2.0,0.00018820457413028146,0.22105263157894736,6.2425369739537855e-05,20,9.840549010112601e-05,0.5238095238095238,2.3999999999999999,5,1.1560271047744463e-05,7
ass,7.84,2.0,1.0,0.00022844022969844305,0.09473684210526316,5.1084254206841999e-05,20,6.945237615972237e-05,0.577524893314367,10.5,4,6.275575711632469e-05,38
