Word,aoa_Kuperman,cmu_MNphonemes,cmu_MNsyllables,fa_BCs,fa_CCs,fa_PR_scores,wn_BCs,wn_CCs,wn_MNSyns,wn_NSigns,wn_PR_scores,wn_degrees
argument,7.55,9.0,3.0,0.00017861529174832938,0.12857142857142856,6.9843637024348976e-05,4.6455482391499184e-05,0.2761904761904762,3.2857142857142856,7,2.6423476680556729e-05,16.0
arm,3.26,3.0,1.0,0.000660758018948111,0.08668076109936575,0.0012172930948431855,2.1022810164799396e-05,0.16666666666666666,2.25,8,1.6514672925348624e-05,10.0
army,7.15,4.0,2.0,0.0016832522712812868,0.0662004662004662,0.00041513605137608219,4.595580341165991e-09,0.4666666666666667,3.0,3,8.761349837194725e-06,6.0
aroma,9.47,4.0,3.0,0.0001043606294369793,0.22857142857142856,3.3305234888367038e-05,5.472169470326785e-06,0.6190476190476191,5.0,2,1.321173834027912e-05,8.0
arrest,7.47,4.0,2.0,1.4250606174615173e-05,0.46153846153846156,3.6204055911397549e-05,0.00022560288277478314,0.2714285714285714,5.333333333333333,6,4.2938149605904706e-05,26.0
arrive,6.26,3.0,2.0,0.00012610167594697644,0.10989010989010989,0.00010797416804774385,5.4331389946687455e-06,0.4,3.5,2,8.2573364626740934e-06,5.0
art,6.21,3.0,1.0,0.0014202813411011584,0.07740112994350283,0.00034745159646741824,3.774940994529207e-09,0.17857142857142858,3.0,4,1.6952308123071718e-05,8.0
ascend,10.67,5.0,2.0,5.1924412874469733e-05,0.32051282051282054,3.87191118012999e-05,8.564010800339811e-08,0.8,1.875,8,1.1560271047743818e-05,7.0
ascent,10.74,5.0,2.0,6.151502533536705e-05,0.24175824175824176,2.2653253386077225e-05,3.2772104900623745e-06,0.5357142857142857,4.666666666666667,3,1.8166140217883313e-05,11.0
ask,2.89,3.0,1.0,0.0004043263832825528,0.11587301587301588,0.00016793839261421755,1.3366941975494021e-05,0.5454545454545454,2.7142857142857144,7,1.9817607510417877e-05,12.0
asleep,4.47,5.0,2.0,0.00012828269385210976,0.24561403508771928,0.00052360406474510088,9.840549010112601e-05,0.5238095238095238,2.3999999999999999,5,1.1560271047744463e-05,7.0
ass,7.84,2.0,1.0,0.000245100278175967,0.09473684210526316,0.00013574971266047006,6.945237615972237e-05,0.577524893314367,10.5,4,6.275575711632469e-05,38.0
assault,10.21,5.0,2.0,9.757607324375061e-05,0.325,2.6796774601952519e-05,4.517716624689709e-05,0.32967032967032966,3.4285714285714284,7,2.8074943973090378e-05,17.0
assignment,7.0,8.0,3.0,6.929421356080717e-05,0.3523809523809524,2.6608712335038971e-05,2.228971033429981e-05,0.2,2.0,6,9.9088037552093011e-06,6.0
assist,8.75,5.0,2.0,2.780774321598711e-06,0.5,3.6242059838633448e-05,6.277334379637032e-06,0.47619047619047616,2.7999999999999998,5,1.4863205632813928e-05,9.0
assistant,8.61,8.0,3.0,6.571153100694322e-05,0.15384615384615385,4.5039905434930862e-05,1.1504284838877215e-05,0.5,3.0,2,6.6058691701398531e-06,4.0
associate,10.83,7.0,4.0,0.00027060858268469757,0.08421052631578947,4.6436143848664894e-05,9.406697804338871e-05,0.22857142857142856,2.6666666666666665,9,2.4772009388022473e-05,15.0
assume,8.21,4.0,2.0,0.0003159505386336933,0.11067193675889328,3.6358073408333455e-05,0.0001322118762686855,0.17142857142857143,3.8888888888888888,9,4.2938149605904523e-05,26.0
atlas,7.9,5.0,2.0,6.560693386077562e-05,0.3111111111111111,3.2748226179307168e-05,8.206393466367841e-10,0.16666666666666666,2.0,4,1.5370958200937734e-05,4.0
atmosphere,9.79,8.0,3.0,5.969780211062533e-05,0.25833333333333336,3.9686837271192698e-05,5.8173153748649696e-05,0.17857142857142858,2.5,6,1.4863205632813742e-05,9.0
attach,6.39,4.0,2.0,0.0002142350535609827,0.15584415584415584,5.4860473660995395e-05,5.403405600965453e-06,0.42857142857142855,2.3999999999999999,5,1.1560271047743794e-05,7.0
attack,6.58,4.0,2.0,0.0006302377793457238,0.09581646423751687,9.0437539185169496e-05,0.00010156972588689031,0.1437908496732026,2.3999999999999999,15,3.4680813143229833e-05,21.0
attempt,7.7,6.0,2.0,3.0129220198882243e-05,0.16666666666666666,4.717622070517943e-05,1.488233447634465e-05,0.28888888888888886,3.75,4,1.8166140217882812e-05,11.0
attend,7.72,5.0,2.0,0.00019292823092636742,0.13157894736842105,2.2728616476002025e-05,3.9317593829443914e-05,0.22727272727272727,3.3999999999999999,5,1.9817607510418324e-05,12.0
attention,6.78,7.0,3.0,0.0007935057286845618,0.033738191632928474,4.4475971562304292e-05,8.952518760330005e-06,0.5,1.6666666666666667,6,6.6058691701397514e-06,4.0
attic,5.15,4.0,2.0,0.00030505875658172715,0.11428571428571428,3.7953461442783392e-05,1.0340055767623479e-08,0.3111111111111111,3.0,5,2.760107253846461e-05,10.0
attire,11.22,4.0,3.0,8.854593973957278e-06,0.5714285714285714,2.4442843410652008e-05,5.0695905511114855e-06,0.7867647058823529,9.5,2,2.8074943973092801e-05,17.0
attitude,6.78,6.0,3.0,0.00027368387692197215,0.14333333333333334,5.4853068462504232e-05,4.47642350803433e-06,0.3333333333333333,1.75,4,4.9544018776043964e-06,3.0
attract,8.78,6.0,2.0,0.0003788640594795616,0.11255411255411256,3.5921834857800564e-05,4.0977620642179235e-05,0.6,2.6666666666666665,3,8.2573364626739596e-06,5.0
